"Opened Datetime","Closed Datetime","Unique Case ID","Status","Main Category","Sub category","Product","CSAT Score"
"2022-09-20 17:00:00","2022-09-21 10:00:00","f5a6b7c8-d9e0-f1a2-b3c4-d5e6f7a8b9c0","Closed","Complaints","Product Complaint","Grape Glove",3
"2023-06-27 14:00:00","2023-06-29 09:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Missing Part","Mango Skate",2
"2024-03-15 07:00:00","","d1e2f3a4-b5c6-d7e8-f9a0-b1c2d3e4f5a6","Open","Account","Update Details","Pear Bike",
"2022-11-05 12:00:00","","c6d7e8f9-a0b1-c2d3-e4f5-a6b7c8d9e0f1","Waiting","Store","Location Finder","Peach Board",
"2023-08-01 18:00:00","2023-08-02 11:00:00","b2c3d4e5-f6a7-b8c9-d0e1-f2a3b4c5d6e7","Closed","Complaints","Policy Complaint","Plum Ski",4
"2024-01-09 08:00:00","2024-01-10 13:00:00","a7b8c9d0-e1f2-a3b4-c5d6-e7f8a9b0c1d2","Closed","Product Problems","Quality Concern","Kiwi Ball",3
"2023-10-03 13:00:00","","f1a2b3c4-d5e6-f7a8-b9c0-d1e2f3a4b5c6","Open","Account","Account Closure","Berry Bat",
"2022-12-22 16:00:00","2022-12-23 10:00:00","e5f6a7b8-c9d0-e1f2-a3b4-c5d6e7f8a9b0","Closed","Store","Staff Issue","Apple Net",2
"2024-05-05 10:00:00","","d0e1f2a3-b4c5-d6e7-f8a9-b0c1d2e3f4a5","Waiting","Complaints","Delivery Issue","Banana Goal",
"2023-02-11 15:00:00","2023-02-14 11:00:00","c3d4e5f6-a7b8-c9d0-e1f2-a3b4c5d6e7f8","Closed","Product Problems","Wrong Item Received","Orange Racket",5
"2022-08-19 09:00:00","","b8c9d0e1-f2a3-b4c5-d6e7-f8a9b0c1d2e3","Open","Account","Password Reset","Grape Glove",
"2023-12-01 14:00:00","2023-12-04 17:00:00","a2b3c4d5-e6f7-a8b9-c0d1-e2f3a4b5c6d7","Closed","Store","Stock Check","Mango Skate",4
"2024-04-29 11:00:00","","f7a8b9c0-d1e2-f3a4-b5c6-d7e8f9a0b1c2","Waiting","Complaints","Service Complaint","Pear Bike",
"2023-04-18 17:00:00","2023-04-19 09:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Defective Item","Peach Board",1
"2022-10-27 07:00:00","","d5e6f7a8-b9c0-d1e2-f3a4-b5c6d7e8f9a0","Open","Account","Billing Inquiry","Plum Ski",
"2024-02-16 12:00:00","2024-02-17 14:00:00","c0d1e2f3-a4b5-c6d7-e8f9-a0b1c2d3e4f5","Closed","Store","Opening Hours","Kiwi Ball",5
"2023-07-05 19:00:00","","b1c2d3e4-f5a6-b7c8-d9e0-f1a2b3c4d5e6","Waiting","Complaints","Product Complaint","Berry Bat",
"2023-01-30 10:00:00","2023-01-31 16:00:00","a6b7c8d9-e0f1-a2b3-c4d5-e6f7a8b9c0d1","Closed","Product Problems","Missing Part","Apple Net",3
"2022-07-22 13:00:00","","f9a0b1c2-d3e4-f5a6-b7c8-d9e0f1a2b3c4","Open","Account","Update Details","Banana Goal",
"2023-11-08 16:00:00","2023-11-09 10:00:00","e4f5a6b7-c8d9-e0f1-a2b3-c4d5e6f7a8b9","Closed","Store","Location Finder","Orange Racket",4
"2024-06-19 08:00:00","","d9e0f1a2-b3c4-d5e6-f7a8-b9c0d1e2f3a4","Waiting","Complaints","Policy Complaint","Grape Glove",
"2022-09-29 15:00:00","2022-09-30 11:00:00","c2d3e4f5-a6b7-c8d9-e0f1-a2b3c4d5e6f7","Closed","Product Problems","Quality Concern","Mango Skate",2
"2023-05-12 11:00:00","","b7c8d9e0-f1a2-b3c4-d5e6-f7a8b9c0d1e2","Open","Account","Account Closure","Pear Bike",
"2024-03-22 18:00:00","2024-03-25 09:00:00","a0b1c2d3-e4f5-a6b7-c8d9-e0f1a2b3c4d5","Closed","Store","Staff Issue","Peach Board",3
"2022-11-20 07:00:00","","f5a6b7c8-d9e0-f1a2-b3c4-d5e6f7a8b9c0","Waiting","Complaints","Delivery Issue","Plum Ski",
"2023-08-16 12:00:00","2023-08-17 13:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Wrong Item Received","Kiwi Ball",5
"2024-01-20 19:00:00","","d1e2f3a4-b5c6-d7e8-f9a0-b1c2d3e4f5a6","Open","Account","Password Reset","Berry Bat",
"2023-10-14 08:00:00","2023-10-16 15:00:00","c6d7e8f9-a0b1-c2d3-e4f5-a6b7c8d9e0f1","Closed","Store","Stock Check","Apple Net",4
"2022-12-28 14:00:00","","b2c3d4e5-f6a7-b8c9-d0e1-f2a3b4c5d6e7","Waiting","Complaints","Service Complaint","Banana Goal",
"2024-04-09 10:00:00","2024-04-10 10:00:00","a7b8c9d0-e1f2-a3b4-c5d6-e7f8a9b0c1d2","Closed","Product Problems","Defective Item","Orange Racket",2
"2023-02-25 16:00:00","","f1a2b3c4-d5e6-f7a8-b9c0-d1e2f3a4b5c6","Open","Account","Billing Inquiry","Grape Glove",
"2022-08-24 09:00:00","2022-08-25 12:00:00","e5f6a7b8-c9d0-e1f2-a3b4-c5d6e7f8a9b0","Closed","Store","Opening Hours","Mango Skate",5
"2023-07-20 15:00:00","","d0e1f2a3-b4c5-d6e7-f8a9-b0c1d2e3f4a5","Waiting","Complaints","Product Complaint","Pear Bike",
"2024-05-15 11:00:00","2024-05-17 14:00:00","c3d4e5f6-a7b8-c9d0-e1f2-a3b4c5d6e7f8","Closed","Product Problems","Missing Part","Peach Board",3
"2023-03-11 17:00:00","","b8c9d0e1-f2a3-b4c5-d6e7-f8a9b0c1d2e3","Open","Account","Update Details","Plum Ski",
"2022-10-06 07:00:00","2022-10-07 10:00:00","a2b3c4d5-e6f7-a8b9-c0d1-e2f3a4b5c6d7","Closed","Store","Location Finder","Kiwi Ball",4
"2024-02-01 13:00:00","","f7a8b9c0-d1e2-f3a4-b5c6-d7e8f9a0b1c2","Waiting","Complaints","Policy Complaint","Berry Bat",
"2023-09-27 19:00:00","2023-09-28 11:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Quality Concern","Apple Net",1
"2022-07-30 10:00:00","","d5e6f7a8-b9c0-d1e2-f3a4-b5c6d7e8f9a0","Open","Account","Account Closure","Banana Goal",
"2023-11-24 16:00:00","2023-11-27 09:00:00","c0d1e2f3-a4b5-c6d7-e8f9-a0b1c2d3e4f5","Closed","Store","Staff Issue","Orange Racket",3
"2024-06-28 08:00:00","","b1c2d3e4-f5a6-b7c8-d9e0-f1a2b3c4d5e6","Waiting","Complaints","Delivery Issue","Grape Glove",
"2023-04-04 14:00:00","2023-04-05 15:00:00","a6b7c8d9-e0f1-a2b3-c4d5-e6f7a8b9c0d1","Closed","Product Problems","Wrong Item Received","Mango Skate",4
"2022-11-12 11:00:00","","f9a0b1c2-d3e4-f5a6-b7c8-d9e0f1a2b3c4","Open","Account","Password Reset","Pear Bike",
"2024-03-07 17:00:00","2024-03-08 10:00:00","e4f5a6b7-c8d9-e0f1-a2b3-c4d5e6f7a8b9","Closed","Store","Stock Check","Peach Board",5
"2023-01-11 09:00:00","","d9e0f1a2-b3c4-d5e6-f7a8-b9c0d1e2f3a4","Waiting","Complaints","Service Complaint","Plum Ski",
"2022-09-05 15:00:00","2022-09-06 12:00:00","c2d3e4f5-a6b7-c8d9-e0f1-a2b3c4d5e6f7","Closed","Product Problems","Defective Item","Kiwi Ball",2
"2023-06-01 10:00:00","","b7c8d9e0-f1a2-b3c4-d5e6-f7a8b9c0d1e2","Open","Account","Billing Inquiry","Berry Bat",
"2024-04-16 18:00:00","2024-04-18 11:00:00","a0b1c2d3-e4f5-a6b7-c8d9-e0f1a2b3c4d5","Closed","Store","Opening Hours","Apple Net",4
"2022-12-03 07:00:00","","f5a6b7c8-d9e0-f1a2-b3c4-d5e6f7a8b9c0","Waiting","Complaints","Product Complaint","Banana Goal",
"2023-08-29 13:00:00","2023-08-30 14:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Missing Part","Orange Racket",3
"2024-01-03 19:00:00","","d1e2f3a4-b5c6-d7e8-f9a0-b1c2d3e4f5a6","Open","Account","Update Details","Grape Glove",
"2023-10-20 08:00:00","2023-10-23 10:00:00","c6d7e8f9-a0b1-c2d3-e4f5-a6b7c8d9e0f1","Closed","Store","Location Finder","Mango Skate",5
"2022-07-25 14:00:00","","b2c3d4e5-f6a7-b8c9-d0e1-f2a3b4c5d6e7","Waiting","Complaints","Policy Complaint","Pear Bike",
"2024-05-21 10:00:00","2024-05-22 16:00:00","a7b8c9d0-e1f2-a3b4-c5d6-e7f8a9b0c1d2","Closed","Product Problems","Quality Concern","Peach Board",1
"2023-02-18 16:00:00","","f1a2b3c4-d5e6-f7a8-b9c0-d1e2f3a4b5c6","Open","Account","Account Closure","Plum Ski",
"2022-09-17 09:00:00","2022-09-19 11:00:00","e5f6a7b8-c9d0-e1f2-a3b4-c5d6e7f8a9b0","Closed","Store","Staff Issue","Kiwi Ball",3
"2023-05-05 15:00:00","","d0e1f2a3-b4c5-d6e7-f8a9-b0c1d2e3f4a5","Waiting","Complaints","Delivery Issue","Berry Bat",
"2024-03-18 11:00:00","2024-03-19 13:00:00","c3d4e5f6-a7b8-c9d0-e1f2-a3b4c5d6e7f8","Closed","Product Problems","Wrong Item Received","Apple Net",4
"2022-11-27 17:00:00","","b8c9d0e1-f2a3-b4c5-d6e7-f8a9b0c1d2e3","Open","Account","Password Reset","Banana Goal",
"2023-08-08 07:00:00","2023-08-09 10:00:00","a2b3c4d5-e6f7-a8b9-c0d1-e2f3a4b5c6d7","Closed","Store","Stock Check","Orange Racket",5
"2024-01-15 12:00:00","","f7a8b9c0-d1e2-f3a4-b5c6-d7e8f9a0b1c2","Waiting","Complaints","Service Complaint","Grape Glove",
"2023-10-09 18:00:00","2023-10-10 14:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Defective Item","Mango Skate",2
"2022-12-14 08:00:00","","d5e6f7a8-b9c0-d1e2-f3a4-b5c6d7e8f9a0","Open","Account","Billing Inquiry","Pear Bike",
"2024-04-24 14:00:00","2024-04-25 09:00:00","c0d1e2f3-a4b5-c6d7-e8f9-a0b1c2d3e4f5","Closed","Store","Opening Hours","Peach Board",4
"2023-02-03 10:00:00","","b1c2d3e4-f5a6-b7c8-d9e0-f1a2b3c4d5e6","Waiting","Complaints","Product Complaint","Plum Ski",
"2022-08-11 16:00:00","2022-08-12 11:00:00","a6b7c8d9-e0f1-a2b3-c4d5-e6f7a8b9c0d1","Closed","Product Problems","Missing Part","Kiwi Ball",3
"2023-07-01 11:00:00","","f9a0b1c2-d3e4-f5a6-b7c8-d9e0f1a2b3c4","Open","Account","Update Details","Berry Bat",
"2024-05-08 17:00:00","2024-05-09 15:00:00","e4f5a6b7-c8d9-e0f1-a2b3-c4d5e6f7a8b9","Closed","Store","Location Finder","Apple Net",5
"2023-03-01 09:00:00","","d9e0f1a2-b3c4-d5e6-f7a8-b9c0d1e2f3a4","Waiting","Complaints","Policy Complaint","Banana Goal",
"2022-10-18 15:00:00","2022-10-19 10:00:00","c2d3e4f5-a6b7-c8d9-e0f1-a2b3c4d5e6f7","Closed","Product Problems","Quality Concern","Orange Racket",1
"2024-02-10 11:00:00","","b7c8d9e0-f1a2-b3c4-d5e6-f7a8b9c0d1e2","Open","Account","Account Closure","Grape Glove",
"2023-09-14 18:00:00","2023-09-15 12:00:00","a0b1c2d3-e4f5-a6b7-c8d9-e0f1a2b3c4d5","Closed","Store","Staff Issue","Mango Skate",3
"2022-07-18 07:00:00","","f5a6b7c8-d9e0-f1a2-b3c4-d5e6f7a8b9c0","Waiting","Complaints","Delivery Issue","Pear Bike",
"2023-11-02 13:00:00","2023-11-03 14:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Wrong Item Received","Peach Board",4
"2024-06-13 19:00:00","","d1e2f3a4-b5c6-d7e8-f9a0-b1c2d3e4f5a6","Open","Account","Password Reset","Plum Ski",
"2023-04-20 08:00:00","2023-04-21 10:00:00","c6d7e8f9-a0b1-c2d3-e4f5-a6b7c8d9e0f1","Closed","Store","Stock Check","Kiwi Ball",5
"2022-11-01 14:00:00","","b2c3d4e5-f6a7-b8c9-d0e1-f2a3b4c5d6e7","Waiting","Complaints","Service Complaint","Berry Bat",
"2024-03-27 10:00:00","2024-03-28 11:00:00","a7b8c9d0-e1f2-a3b4-c5d6-e7f8a9b0c1d2","Closed","Product Problems","Defective Item","Apple Net",2
"2023-01-24 16:00:00","","f1a2b3c4-d5e6-f7a8-b9c0-d1e2f3a4b5c6","Open","Account","Billing Inquiry","Banana Goal",
"2022-09-09 09:00:00","2022-09-12 12:00:00","e5f6a7b8-c9d0-e1f2-a3b4-c5d6e7f8a9b0","Closed","Store","Opening Hours","Orange Racket",4
"2023-06-06 15:00:00","","d0e1f2a3-b4c5-d6e7-f8a9-b0c1d2e3f4a5","Waiting","Complaints","Product Complaint","Grape Glove",
"2024-04-01 11:00:00","2024-04-02 13:00:00","c3d4e5f6-a7b8-c9d0-e1f2-a3b4c5d6e7f8","Closed","Product Problems","Missing Part","Mango Skate",3
"2023-02-09 17:00:00","","b8c9d0e1-f2a3-b4c5-d6e7-f8a9b0c1d2e3","Open","Account","Update Details","Pear Bike",
"2022-10-25 07:00:00","2022-10-26 09:00:00","a2b3c4d5-e6f7-a8b9-c0d1-e2f3a4b5c6d7","Closed","Store","Location Finder","Peach Board",5
"2024-02-22 12:00:00","","f7a8b9c0-d1e2-f3a4-b5c6-d7e8f9a0b1c2","Waiting","Complaints","Policy Complaint","Plum Ski",
"2023-07-13 18:00:00","2023-07-14 14:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Quality Concern","Kiwi Ball",1
"2023-12-19 08:00:00","","d5e6f7a8-b9c0-d1e2-f3a4-b5c6d7e8f9a0","Open","Account","Account Closure","Berry Bat",
"2022-08-30 14:00:00","2022-08-31 10:00:00","c0d1e2f3-a4b5-c6d7-e8f9-a0b1c2d3e4f5","Closed","Store","Staff Issue","Apple Net",3
"2024-06-04 10:00:00","","b1c2d3e4-f5a6-b7c8-d9e0-f1a2b3c4d5e6","Waiting","Complaints","Delivery Issue","Banana Goal",
"2023-04-11 16:00:00","2023-04-12 15:00:00","a6b7c8d9-e0f1-a2b3-c4d5-e6f7a8b9c0d1","Closed","Product Problems","Wrong Item Received","Orange Racket",4
"2022-11-18 11:00:00","","f9a0b1c2-d3e4-f5a6-b7c8-d9e0f1a2b3c4","Open","Account","Password Reset","Grape Glove",
"2024-03-13 17:00:00","2024-03-14 11:00:00","e4f5a6b7-c8d9-e0f1-a2b3-c4d5e6f7a8b9","Closed","Store","Stock Check","Mango Skate",5
"2023-01-17 09:00:00","","d9e0f1a2-b3c4-d5e6-f7a8-b9c0d1e2f3a4","Waiting","Complaints","Service Complaint","Pear Bike",
"2022-09-22 15:00:00","2022-09-23 13:00:00","c2d3e4f5-a6b7-c8d9-e0f1-a2b3c4d5e6f7","Closed","Product Problems","Defective Item","Peach Board",2
"2023-05-18 10:00:00","","b7c8d9e0-f1a2-b3c4-d5e6-f7a8b9c0d1e2","Open","Account","Billing Inquiry","Plum Ski",
"2024-04-21 18:00:00","2024-04-23 10:00:00","a0b1c2d3-e4f5-a6b7-c8d9-e0f1a2b3c4d5","Closed","Store","Opening Hours","Kiwi Ball",4
"2022-12-08 07:00:00","","f5a6b7c8-d9e0-f1a2-b3c4-d5e6f7a8b9c0","Waiting","Complaints","Product Complaint","Berry Bat",
"2023-08-21 13:00:00","2023-08-22 14:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Missing Part","Apple Net",3
"2024-01-08 19:00:00","","d1e2f3a4-b5c6-d7e8-f9a0-b1c2d3e4f5a6","Open","Account","Update Details","Banana Goal",
"2023-10-26 08:00:00","2023-10-27 16:00:00","c6d7e8f9-a0b1-c2d3-e4f5-a6b7c8d9e0f1","Closed","Store","Location Finder","Orange Racket",5
"2022-07-26 14:00:00","","b2c3d4e5-f6a7-b8c9-d0e1-f2a3b4c5d6e7","Waiting","Complaints","Policy Complaint","Grape Glove",
"2024-05-27 10:00:00","2024-05-28 10:00:00","a7b8c9d0-e1f2-a3b4-c5d6-e7f8a9b0c1d2","Closed","Product Problems","Quality Concern","Mango Skate",1
"2023-02-21 16:00:00","","f1a2b3c4-d5e6-f7a8-b9c0-d1e2f3a4b5c6","Open","Account","Account Closure","Pear Bike",
"2022-09-19 09:00:00","2022-09-20 11:00:00","e5f6a7b8-c9d0-e1f2-a3b4-c5d6e7f8a9b0","Closed","Store","Staff Issue","Peach Board",3
"2023-05-11 15:00:00","","d0e1f2a3-b4c5-d6e7-f8a9-b0c1d2e3f4a5","Waiting","Complaints","Delivery Issue","Plum Ski",
"2024-03-21 11:00:00","2024-03-22 13:00:00","c3d4e5f6-a7b8-c9d0-e1f2-a3b4c5d6e7f8","Closed","Product Problems","Wrong Item Received","Kiwi Ball",4
"2022-11-29 17:00:00","","b8c9d0e1-f2a3-b4c5-d6e7-f8a9b0c1d2e3","Open","Account","Password Reset","Berry Bat",
"2023-08-13 07:00:00","2023-08-14 09:00:00","a2b3c4d5-e6f7-a8b9-c0d1-e2f3a4b5c6d7","Closed","Store","Stock Check","Apple Net",5
"2024-01-21 12:00:00","","f7a8b9c0-d1e2-f3a4-b5c6-d7e8f9a0b1c2","Waiting","Complaints","Service Complaint","Banana Goal",
"2023-10-12 18:00:00","2023-10-13 15:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Defective Item","Orange Racket",2
"2022-12-17 08:00:00","","d5e6f7a8-b9c0-d1e2-f3a4-b5c6d7e8f9a0","Open","Account","Billing Inquiry","Grape Glove",
"2024-04-27 14:00:00","2024-04-29 10:00:00","c0d1e2f3-a4b5-c6d7-e8f9-a0b1c2d3e4f5","Closed","Store","Opening Hours","Mango Skate",4
"2023-02-06 10:00:00","","b1c2d3e4-f5a6-b7c8-d9e0-f1a2b3c4d5e6","Waiting","Complaints","Product Complaint","Pear Bike",
"2022-08-14 16:00:00","2022-08-15 12:00:00","a6b7c8d9-e0f1-a2b3-c4d5-e6f7a8b9c0d1","Closed","Product Problems","Missing Part","Peach Board",3
"2023-07-04 11:00:00","","f9a0b1c2-d3e4-f5a6-b7c8-d9e0f1a2b3c4","Open","Account","Update Details","Plum Ski",
"2024-05-11 17:00:00","2024-05-13 16:00:00","e4f5a6b7-c8d9-e0f1-a2b3-c4d5e6f7a8b9","Closed","Store","Location Finder","Kiwi Ball",5
"2023-03-04 09:00:00","","d9e0f1a2-b3c4-d5e6-f7a8-b9c0d1e2f3a4","Waiting","Complaints","Policy Complaint","Berry Bat",
"2022-10-21 15:00:00","2022-10-24 10:00:00","c2d3e4f5-a6b7-c8d9-e0f1-a2b3c4d5e6f7","Closed","Product Problems","Quality Concern","Apple Net",1
"2024-02-13 11:00:00","","b7c8d9e0-f1a2-b3c4-d5e6-f7a8b9c0d1e2","Open","Account","Account Closure","Banana Goal",
"2023-09-17 18:00:00","2023-09-18 13:00:00","a0b1c2d3-e4f5-a6b7-c8d9-e0f1a2b3c4d5","Closed","Store","Staff Issue","Orange Racket",3
"2022-07-21 07:00:00","","f5a6b7c8-d9e0-f1a2-b3c4-d5e6f7a8b9c0","Waiting","Complaints","Delivery Issue","Grape Glove",
"2023-11-05 13:00:00","2023-11-06 15:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Wrong Item Received","Mango Skate",4
"2024-06-16 19:00:00","","d1e2f3a4-b5c6-d7e8-f9a0-b1c2d3e4f5a6","Open","Account","Password Reset","Pear Bike",
"2023-04-23 08:00:00","2023-04-24 11:00:00","c6d7e8f9-a0b1-c2d3-e4f5-a6b7c8d9e0f1","Closed","Store","Stock Check","Peach Board",5
"2022-11-04 14:00:00","","b2c3d4e5-f6a7-b8c9-d0e1-f2a3b4c5d6e7","Waiting","Complaints","Service Complaint","Plum Ski",
"2024-03-30 10:00:00","2024-03-31 12:00:00","a7b8c9d0-e1f2-a3b4-c5d6-e7f8a9b0c1d2","Closed","Product Problems","Defective Item","Kiwi Ball",2
"2023-01-27 16:00:00","","f1a2b3c4-d5e6-f7a8-b9c0-d1e2f3a4b5c6","Open","Account","Billing Inquiry","Berry Bat",
"2022-09-12 09:00:00","2022-09-13 13:00:00","e5f6a7b8-c9d0-e1f2-a3b4-c5d6e7f8a9b0","Closed","Store","Opening Hours","Apple Net",4
"2023-06-09 15:00:00","","d0e1f2a3-b4c5-d6e7-f8a9-b0c1d2e3f4a5","Waiting","Complaints","Product Complaint","Banana Goal",
"2024-04-04 11:00:00","2024-04-05 14:00:00","c3d4e5f6-a7b8-c9d0-e1f2-a3b4c5d6e7f8","Closed","Product Problems","Missing Part","Orange Racket",3
"2023-02-12 17:00:00","","b8c9d0e1-f2a3-b4c5-d6e7-f8a9b0c1d2e3","Open","Account","Update Details","Grape Glove",
"2022-10-28 07:00:00","2022-10-31 10:00:00","a2b3c4d5-e6f7-a8b9-c0d1-e2f3a4b5c6d7","Closed","Store","Location Finder","Mango Skate",5
"2024-02-25 12:00:00","","f7a8b9c0-d1e2-f3a4-b5c6-d7e8f9a0b1c2","Waiting","Complaints","Policy Complaint","Pear Bike",
"2023-07-16 18:00:00","2023-07-17 15:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Quality Concern","Peach Board",1
"2023-12-22 08:00:00","","d5e6f7a8-b9c0-d1e2-f3a4-b5c6d7e8f9a0","Open","Account","Account Closure","Plum Ski",
"2022-08-02 14:00:00","2022-08-03 11:00:00","c0d1e2f3-a4b5-c6d7-e8f9-a0b1c2d3e4f5","Closed","Store","Staff Issue","Kiwi Ball",3
"2024-06-07 10:00:00","","b1c2d3e4-f5a6-b7c8-d9e0-f1a2b3c4d5e6","Waiting","Complaints","Delivery Issue","Berry Bat",
"2023-04-14 16:00:00","2023-04-17 16:00:00","a6b7c8d9-e0f1-a2b3-c4d5-e6f7a8b9c0d1","Closed","Product Problems","Wrong Item Received","Apple Net",4
"2022-11-21 11:00:00","","f9a0b1c2-d3e4-f5a6-b7c8-d9e0f1a2b3c4","Open","Account","Password Reset","Banana Goal",
"2024-03-16 17:00:00","2024-03-18 12:00:00","e4f5a6b7-c8d9-e0f1-a2b3-c4d5e6f7a8b9","Closed","Store","Stock Check","Orange Racket",5
"2023-01-20 09:00:00","","d9e0f1a2-b3c4-d5e6-f7a8-b9c0d1e2f3a4","Waiting","Complaints","Service Complaint","Grape Glove",
"2022-09-25 15:00:00","2022-09-26 14:00:00","c2d3e4f5-a6b7-c8d9-e0f1-a2b3c4d5e6f7","Closed","Product Problems","Defective Item","Mango Skate",2
"2023-05-21 10:00:00","","b7c8d9e0-f1a2-b3c4-d5e6-f7a8b9c0d1e2","Open","Account","Billing Inquiry","Pear Bike",
"2024-04-24 18:00:00","2024-04-25 11:00:00","a0b1c2d3-e4f5-a6b7-c8d9-e0f1a2b3c4d5","Closed","Store","Opening Hours","Peach Board",4
"2022-12-11 07:00:00","","f5a6b7c8-d9e0-f1a2-b3c4-d5e6f7a8b9c0","Waiting","Complaints","Product Complaint","Plum Ski",
"2023-08-24 13:00:00","2023-08-25 15:00:00","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Closed","Product Problems","Missing Part","Kiwi Ball",3
"2024-01-11 19:00:00","","d1e2f3a4-b5c6-d7e8-f9a0-b1c2d3e4f5a6","Open","Account","Update Details","Berry Bat",
